"id","cruise_id","lowering_id","ts","event_value","event_author","event_free_text","event_option.beacon_name","event_option.camera","event_option.co-pilot","event_option.comment","event_option.datalogger","event_option.event_comment","event_option.habitat_observation","event_option.milestone","event_option.number_of_floats?","event_option.pilot","event_option.sample_id","event_option.status","event_option.storage_location","event_option.subtype","event_option.timing","event_option.type","vehicleRealtimeCTDData.cond_uom","vehicleRealtimeCTDData.cond_value","vehicleRealtimeCTDData.depth_uom","vehicleRealtimeCTDData.depth_value","vehicleRealtimeCTDData.pres_uom","vehicleRealtimeCTDData.pres_value","vehicleRealtimeCTDData.sal_uom","vehicleRealtimeCTDData.sal_value","vehicleRealtimeCTDData.sv_uom","vehicleRealtimeCTDData.sv_value","vehicleRealtimeCTDData.temp_uom","vehicleRealtimeCTDData.temp_value","vehicleRealtimeCTDUVSVXData.depth_teos_uom","vehicleRealtimeCTDUVSVXData.depth_teos_value","vehicleRealtimeCTDUVSVXData.pres_uom","vehicleRealtimeCTDUVSVXData.pres_value","vehicleRealtimeCTDUVSVXData.sal_uom","vehicleRealtimeCTDUVSVXData.sal_value","vehicleRealtimeCTDUVSVXData.sv_uom","vehicleRealtimeCTDUVSVXData.sv_value","vehicleRealtimeCTDUVSVXData.temp_uom","vehicleRealtimeCTDUVSVXData.temp_value","vehicleRealtimeFramegrabberData.camera_name_2_uom","vehicleRealtimeFramegrabberData.camera_name_2_value","vehicleRealtimeFramegrabberData.camera_name_uom","vehicleRealtimeFramegrabberData.camera_name_value","vehicleRealtimeFramegrabberData.filename_2_uom","vehicleRealtimeFramegrabberData.filename_2_value","vehicleRealtimeFramegrabberData.filename_uom","vehicleRealtimeFramegrabberData.filename_value","vehicleRealtimeNavData.altitude_uom","vehicleRealtimeNavData.altitude_value","vehicleRealtimeNavData.depth_uom","vehicleRealtimeNavData.depth_value","vehicleRealtimeNavData.heading_uom","vehicleRealtimeNavData.heading_value","vehicleRealtimeNavData.latitude_uom","vehicleRealtimeNavData.latitude_value","vehicleRealtimeNavData.longitude_uom","vehicleRealtimeNavData.longitude_value","vehicleRealtimeNavData.pitch_uom","vehicleRealtimeNavData.pitch_value","vehicleRealtimeNavData.roll_uom","vehicleRealtimeNavData.roll_value","vehicleRealtimeO2Data.concentration_corr_uom","vehicleRealtimeO2Data.concentration_corr_value","vehicleRealtimeO2Data.concentration_raw_uom","vehicleRealtimeO2Data.concentration_raw_value","vehicleRealtimeO2Data.saturation_corr_uom","vehicleRealtimeO2Data.saturation_corr_value","vehicleRealtimeO2Data.saturation_raw_uom","vehicleRealtimeO2Data.saturation_raw_value","vehicleRealtimePHData.pH_corr_uom","vehicleRealtimePHData.pH_corr_value","vehicleRealtimeParoData.depth_uom","vehicleRealtimeParoData.depth_value","vehicleRealtimeUSBLData.depth_uom","vehicleRealtimeUSBLData.depth_value","vehicleRealtimeUSBLData.latitude_uom","vehicleRealtimeUSBLData.latitude_value","vehicleRealtimeUSBLData.longitude_uom","vehicleRealtimeUSBLData.longitude_value","vesselRealtimeNavData.heading_uom","vesselRealtimeNavData.heading_value","vesselRealtimeNavData.latitude_uom","vesselRealtimeNavData.latitude_value","vesselRealtimeNavData.longitude_uom","vesselRealtimeNavData.longitude_value"
"6947b011015b7a9bc2a7ddeb","FKt251206","S0883","2025-12-21T08:30:09.014Z","ASNAP","mt","",,,,,,,,,,,,,,,,,"uS/cm","3.15","m","3207.24","dbar","3256.61","ppt","34.738","m/s","1509.97","C","1.49","m","3209.61","dbar","3269.16","ppt","34.81","m/s","1510.15","C","1.5",,"SITTOO",,"SCICAM",,"/data/sealog-Sub-files/images/SITTOO_20251221_083009014_ASNAP.jpg",,"/data/sealog-Sub-files/images/SCICAM_20251221_083009014_ASNAP.jpg","m","0.0","m","3240.18","deg","288.798","ddeg","-38.953315","ddeg","-53.559384","deg","-7.19","deg","2.17","μ mol","197.19","μ mol","226.39","%","57.08","%","51.728","pH","8.11","m","3212.37","m","3213.96","ddeg","-38.953398","ddeg","-53.55945","deg","225.67","ddeg","-38.954314","ddeg","-53.559061"
"6947b01b015b7a9bc2a7ddf5","FKt251206","S0883","2025-12-21T08:30:19.017Z","ASNAP","mt","",,,,,,,,,,,,,,,,,"uS/cm","3.15","m","3202.72","dbar","3251.98","ppt","34.735","m/s","1509.89","C","1.49","m","3205.1","dbar","3264.55","ppt","34.813","m/s","1510.09","C","1.5",,"SITTOO",,"SCICAM",,"/data/sealog-Sub-files/images/SITTOO_20251221_083019017_ASNAP.jpg",,"/data/sealog-Sub-files/images/SCICAM_20251221_083019017_ASNAP.jpg","m","0.0","m","3235.57","deg","289.001","ddeg","-38.953396","ddeg","-53.559499","deg","-7.18","deg","2.15","μ mol","197.14","μ mol","226.365","%","57.05","%","51.728","pH","8.11","m","3208.13","m","3209.2","ddeg","-38.952945","ddeg","-53.559695","deg","225.33","ddeg","-38.954316","ddeg","-53.559062"
"6947b025015b7a9bc2a7ddff","FKt251206","S0883","2025-12-21T08:30:29.014Z","ASNAP","mt","",,,,,,,,,,,,,,,,,"uS/cm","3.15","m","3198.25","dbar","3247.41","ppt","34.734","m/s","1509.83","C","1.49","m","3200.63","dbar","3259.97","ppt","34.808","m/s","1510.02","C","1.5",,"SITTOO",,"SCICAM",,"/data/sealog-Sub-files/images/SITTOO_20251221_083029014_ASNAP.jpg",,"/data/sealog-Sub-files/images/SCICAM_20251221_083029014_ASNAP.jpg","m","0.0","m","3230.99","deg","288.798","ddeg","-38.953113","ddeg","-53.559539","deg","-7.34","deg","2.2","μ mol","196.94","μ mol","226.171","%","57.0","%","51.698","pH","8.11","m","3203.36","m","3204.14","ddeg","-38.952892","ddeg","-53.559518","deg","225.23","ddeg","-38.954317","ddeg","-53.559062"
"6947b02f015b7a9bc2a7de09","FKt251206","S0883","2025-12-21T08:30:39.014Z","ASNAP","mt","",,,,,,,,,,,,,,,,,"uS/cm","3.15","m","3193.93","dbar","3242.98","ppt","34.736","m/s","1509.79","C","1.5","m","3196.25","dbar","3255.49","ppt","34.807","m/s","1509.96","C","1.51",,"SITTOO",,"SCICAM",,"/data/sealog-Sub-files/images/SITTOO_20251221_083039014_ASNAP.jpg",,"/data/sealog-Sub-files/images/SCICAM_20251221_083039014_ASNAP.jpg","m","0.0","m","3226.55","deg","288.814","ddeg","-38.953034","ddeg","-53.559549","deg","-7.46","deg","2.14","μ mol","196.87","μ mol","226.107","%","57.0","%","51.686","pH","8.11","m","3199.29","m","3200.73","ddeg","-38.953046","ddeg","-53.559632","deg","225.32","ddeg","-38.954316","ddeg","-53.559061"
"6947b039015b7a9bc2a7de13","FKt251206","S0883","2025-12-21T08:30:49.014Z","ASNAP","mt","",,,,,,,,,,,,,,,,,"uS/cm","3.15","m","3189.62","dbar","3238.57","ppt","34.736","m/s","1509.72","C","1.5","m","3191.96","dbar","3251.11","ppt","34.809","m/s","1509.9","C","1.51",,"SITTOO",,"SCICAM",,"/data/sealog-Sub-files/images/SITTOO_20251221_083049014_ASNAP.jpg",,"/data/sealog-Sub-files/images/SCICAM_20251221_083049014_ASNAP.jpg","m","0.0","m","3222.17","deg","288.545","ddeg","-38.953033","ddeg","-53.559579","deg","-7.34","deg","2.14","μ mol","196.77","μ mol","226.023","%","56.97","%","51.67","pH","8.11","m","3194.7","m","3197.54","ddeg","-38.953067","ddeg","-53.559604","deg","225.18","ddeg","-38.954314","ddeg","-53.559059"
"6947b043015b7a9bc2a7de1d","FKt251206","S0883","2025-12-21T08:30:59.007Z","ASNAP","mt","",,,,,,,,,,,,,,,,,"uS/cm","3.15","m","3185.38","dbar","3234.24","ppt","34.736","m/s","1509.65","C","1.5","m","3187.7","dbar","3246.75","ppt","34.8","m/s","1509.85","C","1.52",,"SITTOO",,"SCICAM",,"/data/sealog-Sub-files/images/SITTOO_20251221_083059007_ASNAP.jpg",,"/data/sealog-Sub-files/images/SCICAM_20251221_083059007_ASNAP.jpg","m","0.0","m","3217.85","deg","288.622","ddeg","-38.953019","ddeg","-53.559602","deg","-7.48","deg","2.25","μ mol","196.68","μ mol","225.947","%","56.94","%","51.659","pH","8.12","m","3190.73","m","3197.54","ddeg","-38.953067","ddeg","-53.559604","deg","224.47","ddeg","-38.954315","ddeg","-53.559051"
"6947b04d015b7a9bc2a7de27","FKt251206","S0883","2025-12-21T08:31:09.007Z","ASNAP","mt","",,,,,,,,,,,,,,,,,"uS/cm","3.15","m","3181.09","dbar","3229.85","ppt","34.735","m/s","1509.58","C","1.5","m","3183.39","dbar","3242.34","ppt","34.805","m/s","1509.8","C","1.53",,"SITTOO",,"SCICAM",,"/data/sealog-Sub-files/images/SITTOO_20251221_083109007_ASNAP.jpg",,"/data/sealog-Sub-files/images/SCICAM_20251221_083109007_ASNAP.jpg","m","0.0","m","3213.49","deg","288.463","ddeg","-38.953002","ddeg","-53.559624","deg","-7.53","deg","2.24","μ mol","196.48","μ mol","225.747","%","56.89","%","51.617","pH","8.12","m","3186.14","m","3197.54","ddeg","-38.953067","ddeg","-53.559604","deg","224.86","ddeg","-38.954311","ddeg","-53.55905"
"6947b057015b7a9bc2a7de31","FKt251206","S0883","2025-12-21T08:31:19.020Z","ASNAP","mt","",,,,,,,,,,,,,,,,,"uS/cm","3.15","m","3176.75","dbar","3225.41","ppt","34.736","m/s","1509.51","C","1.5","m","3179.07","dbar","3237.93","ppt","34.813","m/s","1509.79","C","1.54",,"SITTOO",,"SCICAM",,"/data/sealog-Sub-files/images/SITTOO_20251221_083119020_ASNAP.jpg",,"/data/sealog-Sub-files/images/SCICAM_20251221_083119020_ASNAP.jpg","m","0.0","m","3209.03","deg","288.682","ddeg","-38.952984","ddeg","-53.559646","deg","-7.43","deg","2.29","μ mol","196.32","μ mol","225.598","%","56.84","%","51.591","pH","8.11","m","3182.08","m","3197.54","ddeg","-38.953067","ddeg","-53.559604","deg","224.56","ddeg","-38.954311","ddeg","-53.559047"
"6947b061015b7a9bc2a7de3b","FKt251206","S0883","2025-12-21T08:31:29.015Z","ASNAP","mt","",,,,,,,,,,,,,,,,,"uS/cm","3.15","m","3172.43","dbar","3221.0","ppt","34.737","m/s","1509.45","C","1.51","m","3174.76","dbar","3233.51","ppt","34.811","m/s","1509.83","C","1.56",,"SITTOO",,"SCICAM",,"/data/sealog-Sub-files/images/SITTOO_20251221_083129015_ASNAP.jpg",,"/data/sealog-Sub-files/images/SCICAM_20251221_083129015_ASNAP.jpg","m","0.0","m","3204.67","deg","288.605","ddeg","-38.952966","ddeg","-53.55967","deg","-7.52","deg","2.28","μ mol","196.27","μ mol","225.552","%","56.84","%","51.592","pH","8.12","m","3177.47","m","3197.54","ddeg","-38.953067","ddeg","-53.559604","deg","224.37","ddeg","-38.95431","ddeg","-53.559045"
"6947b06b015b7a9bc2a7de45","FKt251206","S0883","2025-12-21T08:31:39.010Z","ASNAP","mt","",,,,,,,,,,,,,,,,,"uS/cm","3.15","m","3168.19","dbar","3216.66","ppt","34.734","m/s","1509.44","C","1.52","m","3170.5","dbar","3229.15","ppt","34.848","m/s","1509.91","C","1.59",,"SITTOO",,"SCICAM",,"/data/sealog-Sub-files/images/SITTOO_20251221_083139010_ASNAP.jpg",,"/data/sealog-Sub-files/images/SCICAM_20251221_083139010_ASNAP.jpg","m","0.0","m","3200.34","deg","288.605","ddeg","-38.952949","ddeg","-53.559696","deg","-7.64","deg","2.25","μ mol","196.23","μ mol","225.534","%","56.83","%","51.609","pH","8.12","m","3173.49","m","3174.83","ddeg","-38.953393","ddeg","-53.559754","deg","223.99","ddeg","-38.954311","ddeg","-53.559041"
